Iteration 0: Weight 0; Strategy Change = 0.131378
Iteration 754: Weight 742.234; Strategy Change = 9.60387e-10
Iteration 755: Weight 743.232; Strategy Change = 9.56619e-10
Iteration 756: Weight 744.229; Strategy Change = 9.5287e-10
Iteration 757: Weight 745.226; Strategy Change = 9.49141e-10
Iteration 758: Weight 746.224; Strategy Change = 9.45431e-10
Iteration 759: Weight 747.221; Strategy Change = 9.41741e-10
Iteration 760: Weight 748.219; Strategy Change = 9.3807e-10
Iteration 761: Weight 749.216; Strategy Change = 9.34418e-10
Iteration 762: Weight 750.213; Strategy Change = 9.30785e-10
Iteration 763: Weight 751.211; Strategy Change = 9.27171e-10
Iteration 764: Weight 752.208; Strategy Change = 9.23576e-10
Iteration 765: Weight 753.206; Strategy Change = 9.19999e-10
Iteration 766: Weight 754.203; Strategy Change = 9.16441e-10
Iteration 767: Weight 755.2; Strategy Change = 9.12901e-10
Iteration 768: Weight 756.198; Strategy Change = 9.09379e-10
Iteration 769: Weight 757.195; Strategy Change = 9.05876e-10
Iteration 770: Weight 758.193; Strategy Change = 9.0239e-10
Iteration 771: Weight 759.19; Strategy Change = 8.98923e-10
Iteration 772: Weight 760.187; Strategy Change = 8.95473e-10
Iteration 773: Weight 761.185; Strategy Change = 8.9204e-10
Iteration 774: Weight 762.182; Strategy Change = 8.88626e-10
Iteration 775: Weight 763.18; Strategy Change = 8.85229e-10
Iteration 776: Weight 764.177; Strategy Change = 8.81849e-10
Iteration 777: Weight 765.174; Strategy Change = 8.78486e-10
Iteration 778: Weight 766.172; Strategy Change = 8.75141e-10
Iteration 779: Weight 767.169; Strategy Change = 8.71812e-10
Iteration 780: Weight 768.167; Strategy Change = 8.685e-10
Iteration 781: Weight 769.164; Strategy Change = 8.65206e-10
Iteration 782: Weight 770.162; Strategy Change = 8.61927e-10
Iteration 783: Weight 771.159; Strategy Change = 8.58666e-10
Iteration 784: Weight 772.157; Strategy Change = 8.55421e-10
Iteration 785: Weight 773.154; Strategy Change = 8.52192e-10
Iteration 786: Weight 774.152; Strategy Change = 8.48979e-10
Iteration 787: Weight 775.149; Strategy Change = 8.45783e-10
Iteration 788: Weight 776.146; Strategy Change = 8.42603e-10
Iteration 789: Weight 777.144; Strategy Change = 8.39438e-10
Iteration 790: Weight 778.141; Strategy Change = 8.3629e-10
Iteration 791: Weight 779.139; Strategy Change = 8.33157e-10
Iteration 792: Weight 780.136; Strategy Change = 8.3004e-10
Iteration 793: Weight 781.134; Strategy Change = 8.26938e-10
Iteration 794: Weight 782.131; Strategy Change = 8.23852e-10
Iteration 795: Weight 783.129; Strategy Change = 8.20782e-10
Iteration 796: Weight 784.126; Strategy Change = 8.17726e-10
Iteration 797: Weight 785.124; Strategy Change = 8.14686e-10
Iteration 798: Weight 786.121; Strategy Change = 8.11661e-10
Iteration 799: Weight 787.119; Strategy Change = 8.08651e-10
Iteration 800: Weight 788.116; Strategy Change = 8.05655e-10
Iteration 801: Weight 789.114; Strategy Change = 8.02675e-10
Iteration 802: Weight 790.111; Strategy Change = 7.99709e-10
Iteration 803: Weight 791.109; Strategy Change = 7.96758e-10
Iteration 804: Weight 792.106; Strategy Change = 7.93822e-10
Iteration 805: Weight 793.104; Strategy Change = 7.90899e-10
Iteration 806: Weight 794.101; Strategy Change = 7.87992e-10
Iteration 807: Weight 795.099; Strategy Change = 7.85098e-10
Iteration 808: Weight 796.096; Strategy Change = 7.82219e-10
Iteration 809: Weight 797.094; Strategy Change = 7.79353e-10
Iteration 810: Weight 798.092; Strategy Change = 7.76502e-10
Iteration 811: Weight 799.089; Strategy Change = 7.73665e-10
Iteration 812: Weight 800.087; Strategy Change = 7.70841e-10
Iteration 813: Weight 801.084; Strategy Change = 7.68031e-10
Iteration 814: Weight 802.082; Strategy Change = 7.65235e-10
Iteration 815: Weight 803.079; Strategy Change = 7.62453e-10
Iteration 816: Weight 804.077; Strategy Change = 7.59684e-10
Iteration 817: Weight 805.074; Strategy Change = 7.56928e-10
Iteration 818: Weight 806.072; Strategy Change = 7.54186e-10
Iteration 819: Weight 807.069; Strategy Change = 7.51457e-10
Iteration 820: Weight 808.067; Strategy Change = 7.48741e-10
Iteration 821: Weight 809.065; Strategy Change = 7.46038e-10
Iteration 822: Weight 810.062; Strategy Change = 7.43349e-10
Iteration 823: Weight 811.06; Strategy Change = 7.40672e-10
Iteration 824: Weight 812.057; Strategy Change = 7.38008e-10
Iteration 825: Weight 813.055; Strategy Change = 7.35357e-10
Iteration 826: Weight 814.052; Strategy Change = 7.32718e-10
Iteration 827: Weight 815.05; Strategy Change = 7.30092e-10
Iteration 828: Weight 816.048; Strategy Change = 7.27479e-10
Iteration 829: Weight 817.045; Strategy Change = 7.24878e-10
Iteration 830: Weight 818.043; Strategy Change = 7.2229e-10
Iteration 831: Weight 819.04; Strategy Change = 7.19714e-10
Iteration 832: Weight 820.038; Strategy Change = 7.1715e-10
Iteration 833: Weight 821.036; Strategy Change = 7.14599e-10
Iteration 834: Weight 822.033; Strategy Change = 7.12059e-10
Iteration 835: Weight 823.031; Strategy Change = 7.09532e-10
Iteration 836: Weight 824.028; Strategy Change = 7.07016e-10
Iteration 837: Weight 825.026; Strategy Change = 7.04513e-10
Iteration 838: Weight 826.024; Strategy Change = 7.02021e-10
Iteration 839: Weight 827.021; Strategy Change = 6.99541e-10
Iteration 840: Weight 828.019; Strategy Change = 6.97073e-10
Iteration 841: Weight 829.017; Strategy Change = 6.94616e-10
Iteration 842: Weight 830.014; Strategy Change = 6.92171e-10
Iteration 843: Weight 831.012; Strategy Change = 6.89737e-10
Iteration 844: Weight 832.009; Strategy Change = 6.87315e-10
Iteration 845: Weight 833.007; Strategy Change = 6.84904e-10
Iteration 846: Weight 834.005; Strategy Change = 6.82504e-10
Iteration 847: Weight 835.002; Strategy Change = 6.80116e-10
Iteration 848: Weight 836; Strategy Change = 6.77739e-10
Iteration 849: Weight 836.998; Strategy Change = 6.75373e-10
Iteration 850: Weight 837.995; Strategy Change = 6.73017e-10
Iteration 851: Weight 838.993; Strategy Change = 6.70673e-10
Iteration 852: Weight 839.991; Strategy Change = 6.6834e-10
Iteration 853: Weight 840.988; Strategy Change = 6.66018e-10
Iteration 854: Weight 841.986; Strategy Change = 6.63706e-10
Iteration 855: Weight 842.984; Strategy Change = 6.61405e-10
Iteration 856: Weight 843.981; Strategy Change = 6.59115e-10
Iteration 857: Weight 844.979; Strategy Change = 6.56835e-10
Iteration 858: Weight 845.977; Strategy Change = 6.54566e-10
Iteration 859: Weight 846.974; Strategy Change = 6.52307e-10
Iteration 860: Weight 847.972; Strategy Change = 6.50058e-10
Iteration 861: Weight 848.97; Strategy Change = 6.4782e-10
Iteration 862: Weight 849.967; Strategy Change = 6.45593e-10
Iteration 863: Weight 850.965; Strategy Change = 6.43375e-10
Iteration 864: Weight 851.963; Strategy Change = 6.41168e-10
Iteration 865: Weight 852.96; Strategy Change = 6.3897e-10
Iteration 866: Weight 853.958; Strategy Change = 6.36783e-10
Iteration 867: Weight 854.956; Strategy Change = 6.34606e-10
Iteration 868: Weight 855.954; Strategy Change = 6.32439e-10
Iteration 869: Weight 856.951; Strategy Change = 6.30281e-10
Iteration 870: Weight 857.949; Strategy Change = 6.28134e-10
Iteration 871: Weight 858.947; Strategy Change = 6.25996e-10
Iteration 872: Weight 859.944; Strategy Change = 6.23868e-10
Iteration 873: Weight 860.942; Strategy Change = 6.21749e-10
Iteration 874: Weight 861.94; Strategy Change = 6.1964e-10
Iteration 875: Weight 862.937; Strategy Change = 6.17541e-10
Iteration 876: Weight 863.935; Strategy Change = 6.15451e-10
Iteration 877: Weight 864.933; Strategy Change = 6.13371e-10
Iteration 878: Weight 865.931; Strategy Change = 6.113e-10
Iteration 879: Weight 866.928; Strategy Change = 6.09238e-10
Iteration 880: Weight 867.926; Strategy Change = 6.07186e-10
Iteration 881: Weight 868.924; Strategy Change = 6.05142e-10
Iteration 882: Weight 869.922; Strategy Change = 6.03108e-10
Iteration 883: Weight 870.919; Strategy Change = 6.01083e-10
Iteration 884: Weight 871.917; Strategy Change = 5.99068e-10
Iteration 885: Weight 872.915; Strategy Change = 5.97061e-10
Iteration 886: Weight 873.913; Strategy Change = 5.95063e-10
Iteration 887: Weight 874.91; Strategy Change = 5.93074e-10
Iteration 888: Weight 875.908; Strategy Change = 5.91094e-10
Iteration 889: Weight 876.906; Strategy Change = 5.89123e-10
Iteration 890: Weight 877.904; Strategy Change = 5.8716e-10
Iteration 891: Weight 878.901; Strategy Change = 5.85206e-10
Iteration 892: Weight 879.899; Strategy Change = 5.83261e-10
Iteration 893: Weight 880.897; Strategy Change = 5.81325e-10
Iteration 894: Weight 881.895; Strategy Change = 5.79397e-10
Iteration 895: Weight 882.892; Strategy Change = 5.77478e-10
Iteration 896: Weight 883.89; Strategy Change = 5.75567e-10
Iteration 897: Weight 884.888; Strategy Change = 5.73664e-10
Iteration 898: Weight 885.886; Strategy Change = 5.7177e-10
Iteration 899: Weight 886.883; Strategy Change = 5.69884e-10
Iteration 900: Weight 887.881; Strategy Change = 5.68007e-10
Iteration 901: Weight 888.879; Strategy Change = 5.66138e-10
Iteration 902: Weight 889.877; Strategy Change = 5.64277e-10
Iteration 903: Weight 890.875; Strategy Change = 5.62424e-10
Iteration 904: Weight 891.872; Strategy Change = 5.60579e-10
Iteration 905: Weight 892.87; Strategy Change = 5.58743e-10
Iteration 906: Weight 893.868; Strategy Change = 5.56914e-10
Iteration 907: Weight 894.866; Strategy Change = 5.55094e-10
Iteration 908: Weight 895.864; Strategy Change = 5.53281e-10
Iteration 909: Weight 896.861; Strategy Change = 5.51476e-10
Iteration 910: Weight 897.859; Strategy Change = 5.49679e-10
Iteration 911: Weight 898.857; Strategy Change = 5.4789e-10
Iteration 912: Weight 899.855; Strategy Change = 5.46109e-10
Iteration 913: Weight 900.853; Strategy Change = 5.44335e-10
Iteration 914: Weight 901.85; Strategy Change = 5.42569e-10
Iteration 915: Weight 902.848; Strategy Change = 5.40811e-10
Iteration 916: Weight 903.846; Strategy Change = 5.3906e-10
Iteration 917: Weight 904.844; Strategy Change = 5.37317e-10
Iteration 918: Weight 905.842; Strategy Change = 5.35582e-10
Iteration 919: Weight 906.84; Strategy Change = 5.33854e-10
Iteration 920: Weight 907.837; Strategy Change = 5.32133e-10
Iteration 921: Weight 908.835; Strategy Change = 5.3042e-10
Iteration 922: Weight 909.833; Strategy Change = 5.28714e-10
Iteration 923: Weight 910.831; Strategy Change = 5.27015e-10
Iteration 924: Weight 911.829; Strategy Change = 5.25324e-10
Iteration 925: Weight 912.827; Strategy Change = 5.2364e-10
Iteration 926: Weight 913.824; Strategy Change = 5.21963e-10
Iteration 927: Weight 914.822; Strategy Change = 5.20293e-10
Iteration 928: Weight 915.82; Strategy Change = 5.18631e-10
Iteration 929: Weight 916.818; Strategy Change = 5.16975e-10
Iteration 930: Weight 917.816; Strategy Change = 5.15327e-10
Iteration 931: Weight 918.814; Strategy Change = 5.13685e-10
Iteration 932: Weight 919.812; Strategy Change = 5.12051e-10
Iteration 933: Weight 920.809; Strategy Change = 5.10423e-10
Iteration 934: Weight 921.807; Strategy Change = 5.08802e-10
Iteration 935: Weight 922.805; Strategy Change = 5.07189e-10
Iteration 936: Weight 923.803; Strategy Change = 5.05582e-10
Iteration 937: Weight 924.801; Strategy Change = 5.03982e-10
Iteration 938: Weight 925.799; Strategy Change = 5.02388e-10
Iteration 939: Weight 926.797; Strategy Change = 5.00802e-10
Iteration 940: Weight 927.794; Strategy Change = 4.99222e-10
Iteration 941: Weight 928.792; Strategy Change = 4.97648e-10
Iteration 942: Weight 929.79; Strategy Change = 4.96082e-10
Iteration 943: Weight 930.788; Strategy Change = 4.94521e-10
Iteration 944: Weight 931.786; Strategy Change = 4.92968e-10
Iteration 945: Weight 932.784; Strategy Change = 4.91421e-10
Iteration 946: Weight 933.782; Strategy Change = 4.8988e-10
Iteration 947: Weight 934.78; Strategy Change = 4.88346e-10
Iteration 948: Weight 935.778; Strategy Change = 4.86818e-10
Iteration 949: Weight 936.775; Strategy Change = 4.85297e-10
Iteration 950: Weight 937.773; Strategy Change = 4.83782e-10
Iteration 951: Weight 938.771; Strategy Change = 4.82273e-10
Iteration 952: Weight 939.769; Strategy Change = 4.80771e-10
Iteration 953: Weight 940.767; Strategy Change = 4.79274e-10
Iteration 954: Weight 941.765; Strategy Change = 4.77784e-10
Iteration 955: Weight 942.763; Strategy Change = 4.76301e-10
Iteration 956: Weight 943.761; Strategy Change = 4.74823e-10
Iteration 957: Weight 944.759; Strategy Change = 4.73351e-10
Iteration 958: Weight 945.757; Strategy Change = 4.71886e-10
Iteration 959: Weight 946.755; Strategy Change = 4.70426e-10
Iteration 960: Weight 947.752; Strategy Change = 4.68973e-10
Iteration 961: Weight 948.75; Strategy Change = 4.67526e-10
Iteration 962: Weight 949.748; Strategy Change = 4.66084e-10
Iteration 963: Weight 950.746; Strategy Change = 4.64649e-10
Iteration 964: Weight 951.744; Strategy Change = 4.63219e-10
Iteration 965: Weight 952.742; Strategy Change = 4.61795e-10
Iteration 966: Weight 953.74; Strategy Change = 4.60377e-10
Iteration 967: Weight 954.738; Strategy Change = 4.58965e-10
Iteration 968: Weight 955.736; Strategy Change = 4.57559e-10
Iteration 969: Weight 956.734; Strategy Change = 4.56158e-10
Iteration 970: Weight 957.732; Strategy Change = 4.54763e-10
Iteration 971: Weight 958.73; Strategy Change = 4.53374e-10
Iteration 972: Weight 959.728; Strategy Change = 4.51991e-10
Iteration 973: Weight 960.726; Strategy Change = 4.50613e-10
Iteration 974: Weight 961.724; Strategy Change = 4.4924e-10
Iteration 975: Weight 962.722; Strategy Change = 4.47874e-10
Iteration 976: Weight 963.719; Strategy Change = 4.46513e-10
Iteration 977: Weight 964.717; Strategy Change = 4.45157e-10
Iteration 978: Weight 965.715; Strategy Change = 4.43807e-10
Iteration 979: Weight 966.713; Strategy Change = 4.42462e-10
Iteration 980: Weight 967.711; Strategy Change = 4.41123e-10
Iteration 981: Weight 968.709; Strategy Change = 4.39789e-10
Iteration 982: Weight 969.707; Strategy Change = 4.3846e-10
Iteration 983: Weight 970.705; Strategy Change = 4.37137e-10
Iteration 984: Weight 971.703; Strategy Change = 4.3582e-10
Iteration 985: Weight 972.701; Strategy Change = 4.34507e-10
Iteration 986: Weight 973.699; Strategy Change = 4.332e-10
Iteration 987: Weight 974.697; Strategy Change = 4.31898e-10
Iteration 988: Weight 975.695; Strategy Change = 4.30601e-10
Iteration 989: Weight 976.693; Strategy Change = 4.29309e-10
Iteration 990: Weight 977.691; Strategy Change = 4.28023e-10
Iteration 991: Weight 978.689; Strategy Change = 4.26742e-10
Iteration 992: Weight 979.687; Strategy Change = 4.25466e-10
Iteration 993: Weight 980.685; Strategy Change = 4.24195e-10
Iteration 994: Weight 981.683; Strategy Change = 4.22929e-10
Iteration 995: Weight 982.681; Strategy Change = 4.21668e-10
Iteration 996: Weight 983.679; Strategy Change = 4.20412e-10
Iteration 997: Weight 984.677; Strategy Change = 4.19161e-10
Iteration 998: Weight 985.675; Strategy Change = 4.17915e-10
Iteration 999: Weight 986.673; Strategy Change = 4.16674e-10
Iteration 1000: Weight 987.671; Strategy Change = 4.15438e-10
Iteration 1001: Weight 988.669; Strategy Change = 4.14206e-10
Iteration 1002: Weight 989.667; Strategy Change = 4.1298e-10
Iteration 1003: Weight 990.665; Strategy Change = 4.11759e-10
Iteration 1004: Weight 991.663; Strategy Change = 4.10542e-10
Iteration 1005: Weight 992.661; Strategy Change = 4.0933e-10
Iteration 1006: Weight 993.659; Strategy Change = 4.08123e-10
Iteration 1007: Weight 994.657; Strategy Change = 4.0692e-10
Iteration 1008: Weight 995.655; Strategy Change = 4.05723e-10
Iteration 1009: Weight 996.653; Strategy Change = 4.0453e-10
Iteration 1010: Weight 997.651; Strategy Change = 4.03341e-10
Iteration 1011: Weight 998.649; Strategy Change = 4.02158e-10
Iteration 1012: Weight 999.647; Strategy Change = 4.00979e-10
Iteration 1013: Weight 1000.65; Strategy Change = 3.99804e-10
Iteration 1014: Weight 1001.64; Strategy Change = 3.98635e-10
Iteration 1015: Weight 1002.64; Strategy Change = 3.97469e-10
Iteration 1016: Weight 1003.64; Strategy Change = 3.96309e-10
Iteration 1017: Weight 1004.64; Strategy Change = 3.95153e-10
Iteration 1018: Weight 1005.64; Strategy Change = 3.94001e-10
Iteration 1019: Weight 1006.63; Strategy Change = 3.92854e-10
Iteration 1020: Weight 1007.63; Strategy Change = 3.91711e-10
Iteration 1021: Weight 1008.63; Strategy Change = 3.90573e-10
Iteration 1022: Weight 1009.63; Strategy Change = 3.89439e-10
Iteration 1023: Weight 1010.63; Strategy Change = 3.88309e-10
Iteration 1024: Weight 1011.62; Strategy Change = 3.87184e-10
Iteration 1025: Weight 1012.62; Strategy Change = 3.86063e-10
Iteration 1026: Weight 1013.62; Strategy Change = 3.84947e-10
Iteration 1027: Weight 1014.62; Strategy Change = 3.83835e-10
Iteration 1028: Weight 1015.62; Strategy Change = 3.82727e-10
Iteration 1029: Weight 1016.61; Strategy Change = 3.81623e-10
Iteration 1030: Weight 1017.61; Strategy Change = 3.80524e-10
Iteration 1031: Weight 1018.61; Strategy Change = 3.79429e-10
Iteration 1032: Weight 1019.61; Strategy Change = 3.78338e-10
Iteration 1033: Weight 1020.61; Strategy Change = 3.77251e-10
Iteration 1034: Weight 1021.6; Strategy Change = 3.76169e-10
Iteration 1035: Weight 1022.6; Strategy Change = 3.7509e-10
Iteration 1036: Weight 1023.6; Strategy Change = 3.74016e-10
Iteration 1037: Weight 1024.6; Strategy Change = 3.72946e-10
Iteration 1038: Weight 1025.6; Strategy Change = 3.71879e-10
Iteration 1039: Weight 1026.59; Strategy Change = 3.70817e-10
Iteration 1040: Weight 1027.59; Strategy Change = 3.69759e-10
Iteration 1041: Weight 1028.59; Strategy Change = 3.68705e-10
Iteration 1042: Weight 1029.59; Strategy Change = 3.67655e-10
Iteration 1043: Weight 1030.59; Strategy Change = 3.66609e-10
Iteration 1044: Weight 1031.59; Strategy Change = 3.65567e-10
Iteration 1045: Weight 1032.58; Strategy Change = 3.64529e-10
Iteration 1046: Weight 1033.58; Strategy Change = 3.63495e-10
Iteration 1047: Weight 1034.58; Strategy Change = 3.62465e-10
Iteration 1048: Weight 1035.58; Strategy Change = 3.61439e-10
Iteration 1049: Weight 1036.58; Strategy Change = 3.60416e-10
Iteration 1050: Weight 1037.57; Strategy Change = 3.59397e-10
Iteration 1051: Weight 1038.57; Strategy Change = 3.58383e-10
Iteration 1052: Weight 1039.57; Strategy Change = 3.57372e-10
Iteration 1053: Weight 1040.57; Strategy Change = 3.56365e-10
Iteration 1054: Weight 1041.57; Strategy Change = 3.55361e-10
Iteration 1055: Weight 1042.56; Strategy Change = 3.54362e-10
Iteration 1056: Weight 1043.56; Strategy Change = 3.53366e-10
Iteration 1057: Weight 1044.56; Strategy Change = 3.52374e-10
Iteration 1058: Weight 1045.56; Strategy Change = 3.51385e-10
Iteration 1059: Weight 1046.56; Strategy Change = 3.50401e-10
Iteration 1060: Weight 1047.55; Strategy Change = 3.4942e-10
Iteration 1061: Weight 1048.55; Strategy Change = 3.48442e-10
Iteration 1062: Weight 1049.55; Strategy Change = 3.47469e-10
Iteration 1063: Weight 1050.55; Strategy Change = 3.46499e-10
Iteration 1064: Weight 1051.55; Strategy Change = 3.45532e-10
Iteration 1065: Weight 1052.55; Strategy Change = 3.44569e-10
Iteration 1066: Weight 1053.54; Strategy Change = 3.4361e-10
Iteration 1067: Weight 1054.54; Strategy Change = 3.42654e-10
Iteration 1068: Weight 1055.54; Strategy Change = 3.41702e-10
Iteration 1069: Weight 1056.54; Strategy Change = 3.40753e-10
Iteration 1070: Weight 1057.54; Strategy Change = 3.39808e-10
Iteration 1071: Weight 1058.53; Strategy Change = 3.38867e-10
Iteration 1072: Weight 1059.53; Strategy Change = 3.37928e-10
Iteration 1073: Weight 1060.53; Strategy Change = 3.36994e-10
Iteration 1074: Weight 1061.53; Strategy Change = 3.36062e-10
Iteration 1075: Weight 1062.53; Strategy Change = 3.35135e-10
Iteration 1076: Weight 1063.52; Strategy Change = 3.3421e-10
Iteration 1077: Weight 1064.52; Strategy Change = 3.33289e-10
Iteration 1078: Weight 1065.52; Strategy Change = 3.32372e-10
Iteration 1079: Weight 1066.52; Strategy Change = 3.31457e-10
Iteration 1080: Weight 1067.52; Strategy Change = 3.30546e-10
Iteration 1081: Weight 1068.52; Strategy Change = 3.29639e-10
Iteration 1082: Weight 1069.51; Strategy Change = 3.28735e-10
Iteration 1083: Weight 1070.51; Strategy Change = 3.27834e-10
Iteration 1084: Weight 1071.51; Strategy Change = 3.26936e-10
Iteration 1085: Weight 1072.51; Strategy Change = 3.26042e-10
Iteration 1086: Weight 1073.51; Strategy Change = 3.25151e-10
Iteration 1087: Weight 1074.5; Strategy Change = 3.24263e-10
Iteration 1088: Weight 1075.5; Strategy Change = 3.23378e-10
Iteration 1089: Weight 1076.5; Strategy Change = 3.22497e-10
Iteration 1090: Weight 1077.5; Strategy Change = 3.21619e-10
Iteration 1091: Weight 1078.5; Strategy Change = 3.20744e-10
Iteration 1092: Weight 1079.5; Strategy Change = 3.19872e-10
Iteration 1093: Weight 1080.49; Strategy Change = 3.19003e-10
Iteration 1094: Weight 1081.49; Strategy Change = 3.18138e-10
Iteration 1095: Weight 1082.49; Strategy Change = 3.17275e-10
Iteration 1096: Weight 1083.49; Strategy Change = 3.16416e-10
Iteration 1097: Weight 1084.49; Strategy Change = 3.1556e-10
Iteration 1098: Weight 1085.48; Strategy Change = 3.14707e-10
Iteration 1099: Weight 1086.48; Strategy Change = 3.13857e-10
Iteration 1100: Weight 1087.48; Strategy Change = 3.1301e-10
Iteration 1101: Weight 1088.48; Strategy Change = 3.12166e-10
Iteration 1102: Weight 1089.48; Strategy Change = 3.11325e-10
Iteration 1103: Weight 1090.48; Strategy Change = 3.10487e-10
Iteration 1104: Weight 1091.47; Strategy Change = 3.09652e-10
Iteration 1105: Weight 1092.47; Strategy Change = 3.0882e-10
Iteration 1106: Weight 1093.47; Strategy Change = 3.07992e-10
Iteration 1107: Weight 1094.47; Strategy Change = 3.07166e-10
Iteration 1108: Weight 1095.47; Strategy Change = 3.06343e-10
Iteration 1109: Weight 1096.46; Strategy Change = 3.05523e-10
Iteration 1110: Weight 1097.46; Strategy Change = 3.04706e-10
Iteration 1111: Weight 1098.46; Strategy Change = 3.03891e-10
Iteration 1112: Weight 1099.46; Strategy Change = 3.0308e-10
Iteration 1113: Weight 1100.46; Strategy Change = 3.02272e-10
Iteration 1114: Weight 1101.46; Strategy Change = 3.01466e-10
Iteration 1115: Weight 1102.45; Strategy Change = 3.00664e-10
Iteration 1116: Weight 1103.45; Strategy Change = 2.99864e-10
Iteration 1117: Weight 1104.45; Strategy Change = 2.99067e-10
Iteration 1118: Weight 1105.45; Strategy Change = 2.98273e-10
Iteration 1119: Weight 1106.45; Strategy Change = 2.97482e-10
Iteration 1120: Weight 1107.44; Strategy Change = 2.96693e-10
Iteration 1121: Weight 1108.44; Strategy Change = 2.95907e-10
Iteration 1122: Weight 1109.44; Strategy Change = 2.95124e-10
Iteration 1123: Weight 1110.44; Strategy Change = 2.94344e-10
Iteration 1124: Weight 1111.44; Strategy Change = 2.93567e-10
Iteration 1125: Weight 1112.44; Strategy Change = 2.92792e-10
Iteration 1126: Weight 1113.43; Strategy Change = 2.9202e-10
Iteration 1127: Weight 1114.43; Strategy Change = 2.91251e-10
Iteration 1128: Weight 1115.43; Strategy Change = 2.90484e-10
Iteration 1129: Weight 1116.43; Strategy Change = 2.8972e-10
Iteration 1130: Weight 1117.43; Strategy Change = 2.88959e-10
Iteration 1131: Weight 1118.43; Strategy Change = 2.88201e-10
Iteration 1132: Weight 1119.42; Strategy Change = 2.87445e-10
Iteration 1133: Weight 1120.42; Strategy Change = 2.86692e-10
Iteration 1134: Weight 1121.42; Strategy Change = 2.85941e-10
Iteration 1135: Weight 1122.42; Strategy Change = 2.85193e-10
Iteration 1136: Weight 1123.42; Strategy Change = 2.84448e-10
Iteration 1137: Weight 1124.41; Strategy Change = 2.83705e-10
Iteration 1138: Weight 1125.41; Strategy Change = 2.82965e-10
Iteration 1139: Weight 1126.41; Strategy Change = 2.82227e-10
Iteration 1140: Weight 1127.41; Strategy Change = 2.81492e-10
Iteration 1141: Weight 1128.41; Strategy Change = 2.8076e-10
Iteration 1142: Weight 1129.41; Strategy Change = 2.8003e-10
Iteration 1143: Weight 1130.4; Strategy Change = 2.79302e-10
Iteration 1144: Weight 1131.4; Strategy Change = 2.78577e-10
Iteration 1145: Weight 1132.4; Strategy Change = 2.77855e-10
Iteration 1146: Weight 1133.4; Strategy Change = 2.77135e-10
Iteration 1147: Weight 1134.4; Strategy Change = 2.76418e-10
Iteration 1148: Weight 1135.4; Strategy Change = 2.75703e-10
Iteration 1149: Weight 1136.39; Strategy Change = 2.7499e-10
Iteration 1150: Weight 1137.39; Strategy Change = 2.7428e-10
Iteration 1151: Weight 1138.39; Strategy Change = 2.73573e-10
Iteration 1152: Weight 1139.39; Strategy Change = 2.72868e-10
Iteration 1153: Weight 1140.39; Strategy Change = 2.72165e-10
Iteration 1154: Weight 1141.39; Strategy Change = 2.71465e-10
Iteration 1155: Weight 1142.38; Strategy Change = 2.70767e-10
Iteration 1156: Weight 1143.38; Strategy Change = 2.70071e-10
Iteration 1157: Weight 1144.38; Strategy Change = 2.69378e-10
Iteration 1158: Weight 1145.38; Strategy Change = 2.68688e-10
Iteration 1159: Weight 1146.38; Strategy Change = 2.67999e-10
Iteration 1160: Weight 1147.37; Strategy Change = 2.67313e-10
Iteration 1161: Weight 1148.37; Strategy Change = 2.66629e-10
Iteration 1162: Weight 1149.37; Strategy Change = 2.65948e-10
Iteration 1163: Weight 1150.37; Strategy Change = 2.65269e-10
Iteration 1164: Weight 1151.37; Strategy Change = 2.64592e-10
Iteration 1165: Weight 1152.37; Strategy Change = 2.63918e-10
Iteration 1166: Weight 1153.36; Strategy Change = 2.63246e-10
Iteration 1167: Weight 1154.36; Strategy Change = 2.62576e-10
Iteration 1168: Weight 1155.36; Strategy Change = 2.61908e-10
Iteration 1169: Weight 1156.36; Strategy Change = 2.61243e-10
Iteration 1170: Weight 1157.36; Strategy Change = 2.6058e-10
Iteration 1171: Weight 1158.36; Strategy Change = 2.59919e-10
Iteration 1172: Weight 1159.35; Strategy Change = 2.59261e-10
Iteration 1173: Weight 1160.35; Strategy Change = 2.58604e-10
Iteration 1174: Weight 1161.35; Strategy Change = 2.5795e-10
Iteration 1175: Weight 1162.35; Strategy Change = 2.57298e-10
Iteration 1176: Weight 1163.35; Strategy Change = 2.56649e-10
Iteration 1177: Weight 1164.35; Strategy Change = 2.56001e-10
Iteration 1178: Weight 1165.34; Strategy Change = 2.55356e-10
Iteration 1179: Weight 1166.34; Strategy Change = 2.54712e-10
Iteration 1180: Weight 1167.34; Strategy Change = 2.54071e-10
Iteration 1181: Weight 1168.34; Strategy Change = 2.53433e-10
Iteration 1182: Weight 1169.34; Strategy Change = 2.52796e-10
Iteration 1183: Weight 1170.34; Strategy Change = 2.52161e-10
Iteration 1184: Weight 1171.33; Strategy Change = 2.51529e-10
Iteration 1185: Weight 1172.33; Strategy Change = 2.50898e-10
Iteration 1186: Weight 1173.33; Strategy Change = 2.5027e-10
Iteration 1187: Weight 1174.33; Strategy Change = 2.49644e-10
Iteration 1188: Weight 1175.33; Strategy Change = 2.4902e-10
Iteration 1189: Weight 1176.33; Strategy Change = 2.48398e-10
Iteration 1190: Weight 1177.32; Strategy Change = 2.47778e-10
Iteration 1191: Weight 1178.32; Strategy Change = 2.4716e-10
