Iteration 0: Weight 0; Strategy Change = 0.131378
Iteration 60: Weight 53.2361; Strategy Change = 1.71005e-06
Iteration 61: Weight 54.2041; Strategy Change = 1.62865e-06
Iteration 62: Weight 55.1727; Strategy Change = 1.55234e-06
Iteration 63: Weight 56.1416; Strategy Change = 1.48074e-06
Iteration 64: Weight 57.1111; Strategy Change = 1.41349e-06
Iteration 65: Weight 58.081; Strategy Change = 1.35025e-06
Iteration 66: Weight 59.0514; Strategy Change = 1.29074e-06
Iteration 67: Weight 60.0222; Strategy Change = 1.23469e-06
Iteration 68: Weight 60.9934; Strategy Change = 1.18184e-06
Iteration 69: Weight 61.9651; Strategy Change = 1.13197e-06
Iteration 70: Weight 62.9371; Strategy Change = 1.08488e-06
Iteration 71: Weight 63.9095; Strategy Change = 1.04037e-06
Iteration 72: Weight 64.8823; Strategy Change = 9.98263e-07
Iteration 73: Weight 65.8555; Strategy Change = 9.58406e-07
Iteration 74: Weight 66.829; Strategy Change = 9.20648e-07
Iteration 75: Weight 67.8028; Strategy Change = 8.84853e-07
Iteration 76: Weight 68.777; Strategy Change = 8.50894e-07
Iteration 77: Weight 69.7516; Strategy Change = 8.18655e-07
Iteration 78: Weight 70.7264; Strategy Change = 7.88028e-07
Iteration 79: Weight 71.7016; Strategy Change = 7.58914e-07
Iteration 80: Weight 72.677; Strategy Change = 7.31219e-07
Iteration 81: Weight 73.6528; Strategy Change = 7.0486e-07
Iteration 82: Weight 74.6288; Strategy Change = 6.79756e-07
Iteration 83: Weight 75.6052; Strategy Change = 6.55832e-07
Iteration 84: Weight 76.5818; Strategy Change = 6.33021e-07
Iteration 85: Weight 77.5586; Strategy Change = 6.11259e-07
Iteration 86: Weight 78.5358; Strategy Change = 5.90485e-07
Iteration 87: Weight 79.5132; Strategy Change = 5.70644e-07
Iteration 88: Weight 80.4908; Strategy Change = 5.51685e-07
Iteration 89: Weight 81.4687; Strategy Change = 5.33558e-07
Iteration 90: Weight 82.4469; Strategy Change = 5.16219e-07
Iteration 91: Weight 83.4253; Strategy Change = 4.99626e-07
Iteration 92: Weight 84.4039; Strategy Change = 4.83737e-07
Iteration 93: Weight 85.3827; Strategy Change = 4.68517e-07
Iteration 94: Weight 86.3618; Strategy Change = 4.53931e-07
Iteration 95: Weight 87.341; Strategy Change = 4.39945e-07
Iteration 96: Weight 88.3205; Strategy Change = 4.2653e-07
Iteration 97: Weight 89.3002; Strategy Change = 4.13656e-07
Iteration 98: Weight 90.2801; Strategy Change = 4.01296e-07
Iteration 99: Weight 91.2602; Strategy Change = 3.89426e-07
Iteration 100: Weight 92.2405; Strategy Change = 3.7802e-07
Iteration 101: Weight 93.221; Strategy Change = 3.67056e-07
Iteration 102: Weight 94.2017; Strategy Change = 3.56514e-07
Iteration 103: Weight 95.1826; Strategy Change = 3.46372e-07
Iteration 104: Weight 96.1636; Strategy Change = 3.36613e-07
Iteration 105: Weight 97.1448; Strategy Change = 3.27217e-07
Iteration 106: Weight 98.1262; Strategy Change = 3.1817e-07
Iteration 107: Weight 99.1078; Strategy Change = 3.09453e-07
Iteration 108: Weight 100.09; Strategy Change = 3.01053e-07
Iteration 109: Weight 101.071; Strategy Change = 2.92955e-07
Iteration 110: Weight 102.053; Strategy Change = 2.85146e-07
Iteration 111: Weight 103.036; Strategy Change = 2.77613e-07
Iteration 112: Weight 104.018; Strategy Change = 2.70343e-07
Iteration 113: Weight 105.001; Strategy Change = 2.63326e-07
Iteration 114: Weight 105.983; Strategy Change = 2.5655e-07
Iteration 115: Weight 106.966; Strategy Change = 2.50006e-07
Iteration 116: Weight 107.949; Strategy Change = 2.43683e-07
Iteration 117: Weight 108.932; Strategy Change = 2.37572e-07
Iteration 118: Weight 109.915; Strategy Change = 2.31664e-07
Iteration 119: Weight 110.899; Strategy Change = 2.25951e-07
Iteration 120: Weight 111.882; Strategy Change = 2.20424e-07
Iteration 121: Weight 112.866; Strategy Change = 2.15077e-07
Iteration 122: Weight 113.85; Strategy Change = 2.09903e-07
Iteration 123: Weight 114.834; Strategy Change = 2.04893e-07
Iteration 124: Weight 115.818; Strategy Change = 2.00042e-07
Iteration 125: Weight 116.802; Strategy Change = 1.95343e-07
Iteration 126: Weight 117.786; Strategy Change = 1.90791e-07
Iteration 127: Weight 118.771; Strategy Change = 1.8638e-07
Iteration 128: Weight 119.755; Strategy Change = 1.82104e-07
Iteration 129: Weight 120.74; Strategy Change = 1.77958e-07
Iteration 130: Weight 121.725; Strategy Change = 1.73937e-07
Iteration 131: Weight 122.71; Strategy Change = 1.70037e-07
Iteration 132: Weight 123.695; Strategy Change = 1.66253e-07
Iteration 133: Weight 124.68; Strategy Change = 1.62581e-07
Iteration 134: Weight 125.665; Strategy Change = 1.59017e-07
Iteration 135: Weight 126.651; Strategy Change = 1.55556e-07
Iteration 136: Weight 127.636; Strategy Change = 1.52195e-07
Iteration 137: Weight 128.622; Strategy Change = 1.48931e-07
Iteration 138: Weight 129.607; Strategy Change = 1.4576e-07
Iteration 139: Weight 130.593; Strategy Change = 1.42678e-07
Iteration 140: Weight 131.579; Strategy Change = 1.39683e-07
Iteration 141: Weight 132.565; Strategy Change = 1.36771e-07
Iteration 142: Weight 133.551; Strategy Change = 1.3394e-07
Iteration 143: Weight 134.537; Strategy Change = 1.31187e-07
Iteration 144: Weight 135.523; Strategy Change = 1.28509e-07
Iteration 145: Weight 136.51; Strategy Change = 1.25904e-07
Iteration 146: Weight 137.496; Strategy Change = 1.23369e-07
Iteration 147: Weight 138.483; Strategy Change = 1.20901e-07
Iteration 148: Weight 139.469; Strategy Change = 1.18499e-07
Iteration 149: Weight 140.456; Strategy Change = 1.16161e-07
Iteration 150: Weight 141.443; Strategy Change = 1.13884e-07
Iteration 151: Weight 142.43; Strategy Change = 1.11666e-07
Iteration 152: Weight 143.417; Strategy Change = 1.09506e-07
Iteration 153: Weight 144.404; Strategy Change = 1.07401e-07
Iteration 154: Weight 145.391; Strategy Change = 1.0535e-07
Iteration 155: Weight 146.378; Strategy Change = 1.03351e-07
Iteration 156: Weight 147.365; Strategy Change = 1.01403e-07
Iteration 157: Weight 148.353; Strategy Change = 9.95029e-08
Iteration 158: Weight 149.34; Strategy Change = 9.76505e-08
Iteration 159: Weight 150.328; Strategy Change = 9.58439e-08
Iteration 160: Weight 151.315; Strategy Change = 9.40818e-08
Iteration 161: Weight 152.303; Strategy Change = 9.23628e-08
Iteration 162: Weight 153.291; Strategy Change = 9.06855e-08
Iteration 163: Weight 154.279; Strategy Change = 8.90487e-08
Iteration 164: Weight 155.267; Strategy Change = 8.74512e-08
Iteration 165: Weight 156.255; Strategy Change = 8.58918e-08
Iteration 166: Weight 157.243; Strategy Change = 8.43694e-08
Iteration 167: Weight 158.231; Strategy Change = 8.28828e-08
Iteration 168: Weight 159.219; Strategy Change = 8.14311e-08
Iteration 169: Weight 160.207; Strategy Change = 8.00132e-08
Iteration 170: Weight 161.196; Strategy Change = 7.86282e-08
Iteration 171: Weight 162.184; Strategy Change = 7.7275e-08
Iteration 172: Weight 163.172; Strategy Change = 7.59529e-08
Iteration 173: Weight 164.161; Strategy Change = 7.46608e-08
Iteration 174: Weight 165.15; Strategy Change = 7.33979e-08
Iteration 175: Weight 166.138; Strategy Change = 7.21635e-08
Iteration 176: Weight 167.127; Strategy Change = 7.09567e-08
Iteration 177: Weight 168.116; Strategy Change = 6.97767e-08
Iteration 178: Weight 169.105; Strategy Change = 6.86228e-08
Iteration 179: Weight 170.093; Strategy Change = 6.74944e-08
Iteration 180: Weight 171.082; Strategy Change = 6.63906e-08
Iteration 181: Weight 172.072; Strategy Change = 6.53108e-08
Iteration 182: Weight 173.061; Strategy Change = 6.42544e-08
Iteration 183: Weight 174.05; Strategy Change = 6.32208e-08
Iteration 184: Weight 175.039; Strategy Change = 6.22092e-08
Iteration 185: Weight 176.028; Strategy Change = 6.12192e-08
Iteration 186: Weight 177.018; Strategy Change = 6.02502e-08
Iteration 187: Weight 178.007; Strategy Change = 5.93016e-08
Iteration 188: Weight 178.996; Strategy Change = 5.83728e-08
Iteration 189: Weight 179.986; Strategy Change = 5.74635e-08
Iteration 190: Weight 180.976; Strategy Change = 5.65729e-08
Iteration 191: Weight 181.965; Strategy Change = 5.57008e-08
Iteration 192: Weight 182.955; Strategy Change = 5.48465e-08
Iteration 193: Weight 183.944; Strategy Change = 5.40097e-08
Iteration 194: Weight 184.934; Strategy Change = 5.31899e-08
Iteration 195: Weight 185.924; Strategy Change = 5.23866e-08
Iteration 196: Weight 186.914; Strategy Change = 5.15995e-08
Iteration 197: Weight 187.904; Strategy Change = 5.08281e-08
Iteration 198: Weight 188.894; Strategy Change = 5.00721e-08
Iteration 199: Weight 189.884; Strategy Change = 4.93311e-08
Iteration 200: Weight 190.874; Strategy Change = 4.86046e-08
Iteration 201: Weight 191.864; Strategy Change = 4.78924e-08
Iteration 202: Weight 192.854; Strategy Change = 4.71941e-08
Iteration 203: Weight 193.844; Strategy Change = 4.65094e-08
Iteration 204: Weight 194.835; Strategy Change = 4.58379e-08
Iteration 205: Weight 195.825; Strategy Change = 4.51793e-08
Iteration 206: Weight 196.815; Strategy Change = 4.45332e-08
Iteration 207: Weight 197.806; Strategy Change = 4.38995e-08
Iteration 208: Weight 198.796; Strategy Change = 4.32778e-08
Iteration 209: Weight 199.787; Strategy Change = 4.26679e-08
Iteration 210: Weight 200.777; Strategy Change = 4.20693e-08
Iteration 211: Weight 201.768; Strategy Change = 4.1482e-08
Iteration 212: Weight 202.759; Strategy Change = 4.09056e-08
Iteration 213: Weight 203.749; Strategy Change = 4.03398e-08
Iteration 214: Weight 204.74; Strategy Change = 3.97845e-08
Iteration 215: Weight 205.731; Strategy Change = 3.92393e-08
Iteration 216: Weight 206.722; Strategy Change = 3.87041e-08
Iteration 217: Weight 207.712; Strategy Change = 3.81786e-08
Iteration 218: Weight 208.703; Strategy Change = 3.76626e-08
Iteration 219: Weight 209.694; Strategy Change = 3.71559e-08
Iteration 220: Weight 210.685; Strategy Change = 3.66583e-08
Iteration 221: Weight 211.676; Strategy Change = 3.61696e-08
Iteration 222: Weight 212.667; Strategy Change = 3.56895e-08
Iteration 223: Weight 213.658; Strategy Change = 3.5218e-08
Iteration 224: Weight 214.649; Strategy Change = 3.47547e-08
Iteration 225: Weight 215.641; Strategy Change = 3.42996e-08
Iteration 226: Weight 216.632; Strategy Change = 3.38524e-08
Iteration 227: Weight 217.623; Strategy Change = 3.34129e-08
Iteration 228: Weight 218.614; Strategy Change = 3.29811e-08
Iteration 229: Weight 219.606; Strategy Change = 3.25567e-08
Iteration 230: Weight 220.597; Strategy Change = 3.21395e-08
Iteration 231: Weight 221.588; Strategy Change = 3.17295e-08
Iteration 232: Weight 222.58; Strategy Change = 3.13265e-08
Iteration 233: Weight 223.571; Strategy Change = 3.09303e-08
Iteration 234: Weight 224.563; Strategy Change = 3.05407e-08
Iteration 235: Weight 225.554; Strategy Change = 3.01577e-08
Iteration 236: Weight 226.546; Strategy Change = 2.97811e-08
Iteration 237: Weight 227.538; Strategy Change = 2.94108e-08
Iteration 238: Weight 228.529; Strategy Change = 2.90466e-08
Iteration 239: Weight 229.521; Strategy Change = 2.86884e-08
Iteration 240: Weight 230.513; Strategy Change = 2.83361e-08
Iteration 241: Weight 231.504; Strategy Change = 2.79896e-08
Iteration 242: Weight 232.496; Strategy Change = 2.76487e-08
Iteration 243: Weight 233.488; Strategy Change = 2.73133e-08
Iteration 244: Weight 234.48; Strategy Change = 2.69834e-08
Iteration 245: Weight 235.472; Strategy Change = 2.66588e-08
Iteration 246: Weight 236.464; Strategy Change = 2.63393e-08
Iteration 247: Weight 237.456; Strategy Change = 2.6025e-08
Iteration 248: Weight 238.448; Strategy Change = 2.57157e-08
Iteration 249: Weight 239.44; Strategy Change = 2.54113e-08
Iteration 250: Weight 240.432; Strategy Change = 2.51116e-08
Iteration 251: Weight 241.424; Strategy Change = 2.48167e-08
Iteration 252: Weight 242.416; Strategy Change = 2.45264e-08
Iteration 253: Weight 243.408; Strategy Change = 2.42407e-08
Iteration 254: Weight 244.4; Strategy Change = 2.39593e-08
Iteration 255: Weight 245.392; Strategy Change = 2.36824e-08
Iteration 256: Weight 246.385; Strategy Change = 2.34097e-08
Iteration 257: Weight 247.377; Strategy Change = 2.31411e-08
Iteration 258: Weight 248.369; Strategy Change = 2.28767e-08
Iteration 259: Weight 249.361; Strategy Change = 2.26163e-08
Iteration 260: Weight 250.354; Strategy Change = 2.23599e-08
Iteration 261: Weight 251.346; Strategy Change = 2.21073e-08
Iteration 262: Weight 252.339; Strategy Change = 2.18586e-08
Iteration 263: Weight 253.331; Strategy Change = 2.16135e-08
Iteration 264: Weight 254.324; Strategy Change = 2.13722e-08
Iteration 265: Weight 255.316; Strategy Change = 2.11344e-08
Iteration 266: Weight 256.309; Strategy Change = 2.09001e-08
Iteration 267: Weight 257.301; Strategy Change = 2.06693e-08
Iteration 268: Weight 258.294; Strategy Change = 2.04419e-08
Iteration 269: Weight 259.286; Strategy Change = 2.02179e-08
Iteration 270: Weight 260.279; Strategy Change = 1.99971e-08
Iteration 271: Weight 261.272; Strategy Change = 1.97795e-08
Iteration 272: Weight 262.264; Strategy Change = 1.95651e-08
Iteration 273: Weight 263.257; Strategy Change = 1.93538e-08
Iteration 274: Weight 264.25; Strategy Change = 1.91456e-08
Iteration 275: Weight 265.242; Strategy Change = 1.89403e-08
Iteration 276: Weight 266.235; Strategy Change = 1.87379e-08
Iteration 277: Weight 267.228; Strategy Change = 1.85385e-08
Iteration 278: Weight 268.221; Strategy Change = 1.83418e-08
Iteration 279: Weight 269.214; Strategy Change = 1.8148e-08
Iteration 280: Weight 270.207; Strategy Change = 1.79569e-08
Iteration 281: Weight 271.2; Strategy Change = 1.77684e-08
Iteration 282: Weight 272.193; Strategy Change = 1.75826e-08
Iteration 283: Weight 273.186; Strategy Change = 1.73994e-08
Iteration 284: Weight 274.179; Strategy Change = 1.72187e-08
Iteration 285: Weight 275.172; Strategy Change = 1.70406e-08
Iteration 286: Weight 276.165; Strategy Change = 1.68649e-08
Iteration 287: Weight 277.158; Strategy Change = 1.66916e-08
Iteration 288: Weight 278.151; Strategy Change = 1.65207e-08
Iteration 289: Weight 279.144; Strategy Change = 1.63521e-08
Iteration 290: Weight 280.137; Strategy Change = 1.61858e-08
Iteration 291: Weight 281.13; Strategy Change = 1.60218e-08
Iteration 292: Weight 282.123; Strategy Change = 1.586e-08
Iteration 293: Weight 283.117; Strategy Change = 1.57003e-08
Iteration 294: Weight 284.11; Strategy Change = 1.55428e-08
Iteration 295: Weight 285.103; Strategy Change = 1.53874e-08
Iteration 296: Weight 286.096; Strategy Change = 1.52341e-08
Iteration 297: Weight 287.09; Strategy Change = 1.50829e-08
Iteration 298: Weight 288.083; Strategy Change = 1.49336e-08
Iteration 299: Weight 289.076; Strategy Change = 1.47863e-08
Iteration 300: Weight 290.07; Strategy Change = 1.46409e-08
Iteration 301: Weight 291.063; Strategy Change = 1.44974e-08
Iteration 302: Weight 292.056; Strategy Change = 1.43559e-08
Iteration 303: Weight 293.05; Strategy Change = 1.42161e-08
Iteration 304: Weight 294.043; Strategy Change = 1.40782e-08
Iteration 305: Weight 295.037; Strategy Change = 1.39421e-08
Iteration 306: Weight 296.03; Strategy Change = 1.38077e-08
Iteration 307: Weight 297.024; Strategy Change = 1.3675e-08
Iteration 308: Weight 298.017; Strategy Change = 1.35441e-08
Iteration 309: Weight 299.011; Strategy Change = 1.34148e-08
Iteration 310: Weight 300.004; Strategy Change = 1.32871e-08
Iteration 311: Weight 300.998; Strategy Change = 1.31611e-08
Iteration 312: Weight 301.992; Strategy Change = 1.30367e-08
Iteration 313: Weight 302.985; Strategy Change = 1.29138e-08
Iteration 314: Weight 303.979; Strategy Change = 1.27925e-08
Iteration 315: Weight 304.973; Strategy Change = 1.26727e-08
Iteration 316: Weight 305.966; Strategy Change = 1.25544e-08
Iteration 317: Weight 306.96; Strategy Change = 1.24376e-08
Iteration 318: Weight 307.954; Strategy Change = 1.23222e-08
Iteration 319: Weight 308.948; Strategy Change = 1.22083e-08
Iteration 320: Weight 309.941; Strategy Change = 1.20957e-08
Iteration 321: Weight 310.935; Strategy Change = 1.19846e-08
Iteration 322: Weight 311.929; Strategy Change = 1.18748e-08
Iteration 323: Weight 312.923; Strategy Change = 1.17663e-08
Iteration 324: Weight 313.917; Strategy Change = 1.16592e-08
Iteration 325: Weight 314.911; Strategy Change = 1.15534e-08
Iteration 326: Weight 315.904; Strategy Change = 1.14488e-08
Iteration 327: Weight 316.898; Strategy Change = 1.13455e-08
Iteration 328: Weight 317.892; Strategy Change = 1.12435e-08
Iteration 329: Weight 318.886; Strategy Change = 1.11427e-08
Iteration 330: Weight 319.88; Strategy Change = 1.10431e-08
Iteration 331: Weight 320.874; Strategy Change = 1.09446e-08
Iteration 332: Weight 321.868; Strategy Change = 1.08474e-08
Iteration 333: Weight 322.862; Strategy Change = 1.07513e-08
Iteration 334: Weight 323.856; Strategy Change = 1.06563e-08
Iteration 335: Weight 324.85; Strategy Change = 1.05625e-08
Iteration 336: Weight 325.844; Strategy Change = 1.04697e-08
Iteration 337: Weight 326.838; Strategy Change = 1.03781e-08
Iteration 338: Weight 327.833; Strategy Change = 1.02875e-08
Iteration 339: Weight 328.827; Strategy Change = 1.01979e-08
Iteration 340: Weight 329.821; Strategy Change = 1.01094e-08
Iteration 341: Weight 330.815; Strategy Change = 1.0022e-08
Iteration 342: Weight 331.809; Strategy Change = 9.93552e-09
Iteration 343: Weight 332.803; Strategy Change = 9.85005e-09
Iteration 344: Weight 333.798; Strategy Change = 9.76557e-09
Iteration 345: Weight 334.792; Strategy Change = 9.68205e-09
Iteration 346: Weight 335.786; Strategy Change = 9.59949e-09
Iteration 347: Weight 336.78; Strategy Change = 9.51786e-09
Iteration 348: Weight 337.775; Strategy Change = 9.43717e-09
Iteration 349: Weight 338.769; Strategy Change = 9.35738e-09
Iteration 350: Weight 339.763; Strategy Change = 9.27849e-09
Iteration 351: Weight 340.758; Strategy Change = 9.2005e-09
Iteration 352: Weight 341.752; Strategy Change = 9.12337e-09
Iteration 353: Weight 342.746; Strategy Change = 9.04711e-09
Iteration 354: Weight 343.741; Strategy Change = 8.9717e-09
Iteration 355: Weight 344.735; Strategy Change = 8.89713e-09
Iteration 356: Weight 345.729; Strategy Change = 8.82338e-09
Iteration 357: Weight 346.724; Strategy Change = 8.75045e-09
Iteration 358: Weight 347.718; Strategy Change = 8.67833e-09
Iteration 359: Weight 348.713; Strategy Change = 8.607e-09
Iteration 360: Weight 349.707; Strategy Change = 8.53645e-09
Iteration 361: Weight 350.702; Strategy Change = 8.46667e-09
Iteration 362: Weight 351.696; Strategy Change = 8.39765e-09
Iteration 363: Weight 352.691; Strategy Change = 8.32938e-09
Iteration 364: Weight 353.685; Strategy Change = 8.26186e-09
Iteration 365: Weight 354.68; Strategy Change = 8.19506e-09
Iteration 366: Weight 355.674; Strategy Change = 8.12899e-09
Iteration 367: Weight 356.669; Strategy Change = 8.06362e-09
Iteration 368: Weight 357.663; Strategy Change = 7.99896e-09
Iteration 369: Weight 358.658; Strategy Change = 7.93499e-09
Iteration 370: Weight 359.653; Strategy Change = 7.8717e-09
Iteration 371: Weight 360.647; Strategy Change = 7.80908e-09
Iteration 372: Weight 361.642; Strategy Change = 7.74713e-09
Iteration 373: Weight 362.637; Strategy Change = 7.68584e-09
Iteration 374: Weight 363.631; Strategy Change = 7.62519e-09
Iteration 375: Weight 364.626; Strategy Change = 7.56518e-09
Iteration 376: Weight 365.621; Strategy Change = 7.5058e-09
Iteration 377: Weight 366.615; Strategy Change = 7.44705e-09
Iteration 378: Weight 367.61; Strategy Change = 7.3889e-09
Iteration 379: Weight 368.605; Strategy Change = 7.33137e-09
Iteration 380: Weight 369.6; Strategy Change = 7.27443e-09
Iteration 381: Weight 370.594; Strategy Change = 7.21808e-09
Iteration 382: Weight 371.589; Strategy Change = 7.16231e-09
Iteration 383: Weight 372.584; Strategy Change = 7.10712e-09
Iteration 384: Weight 373.579; Strategy Change = 7.05249e-09
Iteration 385: Weight 374.574; Strategy Change = 6.99843e-09
Iteration 386: Weight 375.568; Strategy Change = 6.94492e-09
Iteration 387: Weight 376.563; Strategy Change = 6.89195e-09
Iteration 388: Weight 377.558; Strategy Change = 6.83952e-09
Iteration 389: Weight 378.553; Strategy Change = 6.78763e-09
Iteration 390: Weight 379.548; Strategy Change = 6.73626e-09
Iteration 391: Weight 380.543; Strategy Change = 6.68541e-09
Iteration 392: Weight 381.538; Strategy Change = 6.63507e-09
Iteration 393: Weight 382.533; Strategy Change = 6.58524e-09
Iteration 394: Weight 383.528; Strategy Change = 6.53591e-09
Iteration 395: Weight 384.523; Strategy Change = 6.48707e-09
Iteration 396: Weight 385.518; Strategy Change = 6.43872e-09
Iteration 397: Weight 386.513; Strategy Change = 6.39084e-09
Iteration 398: Weight 387.508; Strategy Change = 6.34345e-09
Iteration 399: Weight 388.503; Strategy Change = 6.29652e-09
Iteration 400: Weight 389.498; Strategy Change = 6.25006e-09
Iteration 401: Weight 390.493; Strategy Change = 6.20405e-09
Iteration 402: Weight 391.488; Strategy Change = 6.15849e-09
Iteration 403: Weight 392.483; Strategy Change = 6.11339e-09
Iteration 404: Weight 393.478; Strategy Change = 6.06872e-09
Iteration 405: Weight 394.473; Strategy Change = 6.02449e-09
Iteration 406: Weight 395.468; Strategy Change = 5.98069e-09
Iteration 407: Weight 396.463; Strategy Change = 5.93731e-09
Iteration 408: Weight 397.458; Strategy Change = 5.89435e-09
Iteration 409: Weight 398.453; Strategy Change = 5.85181e-09
Iteration 410: Weight 399.448; Strategy Change = 5.80968e-09
Iteration 411: Weight 400.444; Strategy Change = 5.76795e-09
Iteration 412: Weight 401.439; Strategy Change = 5.72662e-09
Iteration 413: Weight 402.434; Strategy Change = 5.68569e-09
Iteration 414: Weight 403.429; Strategy Change = 5.64515e-09
Iteration 415: Weight 404.424; Strategy Change = 5.60499e-09
Iteration 416: Weight 405.42; Strategy Change = 5.56522e-09
Iteration 417: Weight 406.415; Strategy Change = 5.52582e-09
Iteration 418: Weight 407.41; Strategy Change = 5.48679e-09
Iteration 419: Weight 408.405; Strategy Change = 5.44813e-09
Iteration 420: Weight 409.4; Strategy Change = 5.40984e-09
Iteration 421: Weight 410.396; Strategy Change = 5.3719e-09
Iteration 422: Weight 411.391; Strategy Change = 5.33432e-09
Iteration 423: Weight 412.386; Strategy Change = 5.29709e-09
Iteration 424: Weight 413.382; Strategy Change = 5.26021e-09
Iteration 425: Weight 414.377; Strategy Change = 5.22367e-09
Iteration 426: Weight 415.372; Strategy Change = 5.18747e-09
Iteration 427: Weight 416.368; Strategy Change = 5.1516e-09
Iteration 428: Weight 417.363; Strategy Change = 5.11607e-09
Iteration 429: Weight 418.358; Strategy Change = 5.08086e-09
Iteration 430: Weight 419.354; Strategy Change = 5.04597e-09
Iteration 431: Weight 420.349; Strategy Change = 5.01141e-09
Iteration 432: Weight 421.344; Strategy Change = 4.97716e-09
Iteration 433: Weight 422.34; Strategy Change = 4.94322e-09
Iteration 434: Weight 423.335; Strategy Change = 4.90959e-09
Iteration 435: Weight 424.331; Strategy Change = 4.87627e-09
Iteration 436: Weight 425.326; Strategy Change = 4.84325e-09
Iteration 437: Weight 426.322; Strategy Change = 4.81052e-09
Iteration 438: Weight 427.317; Strategy Change = 4.7781e-09
Iteration 439: Weight 428.312; Strategy Change = 4.74596e-09
Iteration 440: Weight 429.308; Strategy Change = 4.71411e-09
Iteration 441: Weight 430.303; Strategy Change = 4.68255e-09
Iteration 442: Weight 431.299; Strategy Change = 4.65127e-09
Iteration 443: Weight 432.294; Strategy Change = 4.62027e-09
Iteration 444: Weight 433.29; Strategy Change = 4.58954e-09
Iteration 445: Weight 434.285; Strategy Change = 4.55909e-09
Iteration 446: Weight 435.281; Strategy Change = 4.52891e-09
Iteration 447: Weight 436.276; Strategy Change = 4.49899e-09
